Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.05,-.02,-.13,-.25,-.18,.06,-.06,-.15,.00,.05,-.05,***,***,-.03,-.12,-.07
1881,-.09,-.07,.09,.09,.08,-.06,-.08,-.03,-.05,-.01,.00,.09,.00,-.01,-.03,.09,-.06,-.02
1882,.07,.07,.07,-.02,-.04,-.15,-.05,.01,-.05,.03,-.01,-.07,-.01,.00,.08,.00,-.06,-.01
1883,-.02,-.08,-.09,-.07,-.10,-.03,-.09,-.05,-.11,-.06,-.04,-.06,-.07,-.07,-.06,-.09,-.06,-.07
1884,-.08,-.06,-.11,-.22,-.32,-.30,-.22,-.07,-.12,-.07,-.10,-.15,-.15,-.14,-.07,-.21,-.20,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.23,-.20,-.13,-.11,-.10,-.25,-.25,-.19,-.33,-.33,-.15
1886,-.14,-.20,-.17,-.20,-.15,-.32,-.22,-.19,-.15,-.24,-.15,-.29,-.20,-.19,-.15,-.17,-.24,-.18
1887,-.37,-.44,-.28,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.26
1888,-.21,-.13,-.22,-.20,-.29,-.32,-.21,-.10,-.05,.05,.06,.14,-.12,-.15,-.19,-.24,-.21,.02
1889,.08,.03,.12,.02,.01,-.13,-.07,-.20,-.18,-.10,-.06,-.04,-.04,-.03,.08,.05,-.14,-.11
1890,-.20,-.32,-.34,-.35,-.43,-.33,-.32,-.39,-.38,-.40,-.25,-.16,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.24,-.16,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.06,-.14,-.21,-.23,-.38,-.26,-.21,-.13,-.01,-.02,-.11,-.15,-.15,-.06,-.19,-.29,-.05
